Time,Alt_km,Lon_deg,Lat_deg,Vel,Gamma_deg,Psi_deg,Alpha_deg,Bank_deg
3,39.9635,0.113829,0.11362,5997.59,-0.16943,45.1057,3.06348,54.3512
3.05,39.9626,0.115728,0.115512,5997.55,-0.170091,45.1074,3.08105,53.848
3.1,39.9617,0.117626,0.117403,5997.52,-0.170728,45.1092,3.09863,53.3711
3.15,39.9609,0.119525,0.119294,5997.48,-0.171343,45.111,3.11621,52.9187
3.2,39.96,0.121424,0.121186,5997.45,-0.171936,45.1127,3.13379,52.4895
3.25,39.9591,0.123323,0.123077,5997.41,-0.172516,45.1145,3.13379,52.0821
3.3,39.9581,0.125221,0.124968,5997.38,-0.173075,45.1162,3.15137,51.6895
3.35,39.9572,0.12712,0.126859,5997.34,-0.173613,45.118,3.16895,51.3167
3.4,39.9563,0.129019,0.12875,5997.3,-0.174132,45.1198,3.18652,50.9626
3.45,39.9554,0.130918,0.130641,5997.27,-0.174639,45.1215,3.18652,50.6264
3.5,39.9545,0.132817,0.132532,5997.23,-0.175128,45.1233,3.2041,50.3012
3.55,39.9536,0.134716,0.134423,5997.2,-0.175598,45.125,3.22168,49.9923
3.6,39.9527,0.136616,0.136314,5997.16,-0.176049,45.1268,3.23926,49.6989
3.65,39.9517,0.138515,0.138205,5997.12,-0.176492,45.1286,3.23926,49.4203
3.7,39.9508,0.140414,0.140095,5997.09,-0.176916,45.1303,3.25684,49.1502
3.75,39.9499,0.142313,0.141986,5997.05,-0.177333,45.1321,3.25684,48.8937
3.8,39.949,0.144212,0.143876,5997.02,-0.177732,45.1339,3.27441,48.6448
3.85,39.948,0.146112,0.145767,5996.98,-0.178124,45.1356,3.27441,48.4085
3.9,39.9471,0.148011,0.147657,5996.94,-0.178499,45.1374,3.29199,48.1789
3.95,39.9462,0.149911,0.149548,5996.91,-0.178858,45.1391,3.30957,47.9612
4,39.9452,0.15181,0.151438,5996.87,-0.17921,45.1409,3.30957,47.7549
4.05,39.9443,0.15371,0.153328,5996.83,-0.179556,45.1427,3.30957,47.554
4.1,39.9433,0.155609,0.155218,5996.79,-0.179886,45.1444,3.32715,47.3585
4.15,39.9424,0.157509,0.157108,5996.76,-0.18021,45.1462,3.32715,47.1734
4.2,39.9415,0.159409,0.158998,5996.72,-0.180518,45.1479,3.34473,46.993
4.25,39.9405,0.161308,0.160888,5996.68,-0.180821,45.1497,3.34473,46.8225
4.3,39.9396,0.163208,0.162778,5996.65,-0.181109,45.1515,3.3623,46.6562
4.35,39.9386,0.165108,0.164668,5996.61,-0.181392,45.1532,3.3623,46.4993
4.4,39.9377,0.167008,0.166557,5996.57,-0.18166,45.155,3.37988,46.3461
4.45,39.9367,0.168908,0.168447,5996.53,-0.181924,45.1567,3.37988,46.2018
4.5,39.9358,0.170808,0.170336,5996.5,-0.182183,45.1585,3.37988,46.0609
4.55,39.9348,0.172708,0.172226,5996.46,-0.182427,45.1603,3.39746,45.9232
4.6,39.9339,0.174608,0.174115,5996.42,-0.182668,45.162,3.39746,45.7939
4.65,39.9329,0.176508,0.176005,5996.38,-0.182904,45.1638,3.39746,45.6674
4.7,39.9319,0.178408,0.177894,5996.35,-0.183126,45.1656,3.41504,45.5438
4.75,39.931,0.180308,0.179783,5996.31,-0.183345,45.1673,3.41504,45.428
4.8,39.93,0.182209,0.181672,5996.27,-0.18356,45.1691,3.41504,45.3148
4.85,39.9291,0.184109,0.183561,5996.23,-0.183771,45.1708,3.41504,45.204
4.9,39.9281,0.186009,0.18545,5996.19,-0.183969,45.1726,3.43262,45.0955
4.95,39.9271,0.18791,0.187339,5996.16,-0.184163,45.1743,3.43262,44.9944
5,39.9262,0.18981,0.189228,5996.12,-0.184354,45.1761,3.43262,44.8954
5.05,39.9252,0.191711,0.191117,5996.08,-0.184532,45.1779,3.4502,44.7985
5.1,39.9242,0.193611,0.193005,5996.04,-0.184707,45.1796,3.4502,44.7086
5.15,39.9233,0.195512,0.194894,5996,-0.184879,45.1814,3.4502,44.6205
5.2,39.9223,0.197412,0.196782,5995.96,-0.185048,45.1831,3.4502,44.5342
5.25,39.9213,0.199313,0.198671,5995.93,-0.185214,45.1849,3.4502,44.4496
5.3,39.9204,0.201214,0.200559,5995.89,-0.185367,45.1867,3.46777,44.3667
5.35,39.9194,0.203114,0.202448,5995.85,-0.185518,45.1884,3.46777,44.2904
5.4,39.9184,0.205015,0.204336,5995.81,-0.185666,45.1902,3.46777,44.2155
5.45,39.9175,0.206916,0.206224,5995.77,-0.185812,45.1919,3.46777,44.1422
5.5,39.9165,0.208817,0.208112,5995.73,-0.185955,45.1937,3.46777,44.0702
5.55,39.9155,0.210718,0.21,5995.7,-0.186085,45.1954,3.48535,43.9996
5.6,39.9145,0.212619,0.211888,5995.66,-0.186214,45.1972,3.48535,43.9353
5.65,39.9136,0.21452,0.213776,5995.62,-0.18634,45.199,3.48535,43.8722
5.7,39.9126,0.216421,0.215664,5995.58,-0.186464,45.2007,3.48535,43.8103
5.75,39.9116,0.218322,0.217552,5995.54,-0.186586,45.2025,3.48535,43.7496
5.8,39.9106,0.220223,0.21944,5995.5,-0.186696,45.2042,3.50293,43.69
5.85,39.9097,0.222124,0.221327,5995.46,-0.186804,45.206,3.50293,43.6364
5.9,39.9087,0.224026,0.223215,5995.42,-0.18691,45.2078,3.50293,43.5837
